scheme,validity_floor,bias_offset,benchmark,model,method,bias,validity,bias_threshold,fairness_pass,utility_pass,both_pass
v=0.5,0.5,0.0,UQSB-2023,codegen350M,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,deepseek1.3b,baseline,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,deepseek1.3b,postgenast,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,deepseek1.3b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,deepseek1.3b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,qwen1.5b,baseline,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,qwen1.5b,postgenast,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,qwen1.5b,promptmit_v1,0.0,1.0,0.2,True,True,True
v=0.5,0.5,0.0,UQSB-2023,qwen1.5b,promptmit_v2,0.0,1.0,0.2,True,True,True
v=0.6,0.6,0.0,BTM-2025,codegen350M,baseline,0.3529,0.7556,0.1,False,True,False
v=0.6,0.6,0.0,BTM-2025,codegen350M,postgenast,0.0882,0.7556,0.1,True,True,True
v=0.6,0.6,0.0,BTM-2025,codegen350M,promptmit_v1,0.3529,0.7556,0.1,False,True,False
v=0.6,0.6,0.0,BTM-2025,codegen350M,promptmit_v2,0.1579,0.4222,0.1,False,False,False
v=0.6,0.6,0.0,BTM-2025,deepseek1.3b,baseline,0.2973,0.8222,0.1,False,True,False
v=0.6,0.6,0.0,BTM-2025,deepseek1.3b,postgenast,0.2703,0.8222,0.1,False,True,False
v=0.6,0.6,0.0,BTM-2025,deepseek1.3b,promptmit_v1,0.2703,0.8222,0.1,False,True,False
v=0.6,0.6,0.0,BTM-2025,deepseek1.3b,promptmit_v2,0.0,0.9111,0.1,True,True,True
v=0.6,0.6,0.0,BTM-2025,qwen1.5b,baseline,0.0278,0.8,0.1,True,True,True
v=0.6,0.6,0.0,BTM-2025,qwen1.5b,postgenast,0.0278,0.8,0.1,True,True,True
v=0.6,0.6,0.0,BTM-2025,qwen1.5b,promptmit_v1,0.027,0.8222,0.1,True,True,True
v=0.6,0.6,0.0,BTM-2025,qwen1.5b,promptmit_v2,0.0263,0.8444,0.1,True,True,True
v=0.6,0.6,0.0,BU-2024,codegen350M,baseline,0.4222,1.0,0.2,False,True,False
v=0.6,0.6,0.0,BU-2024,codegen350M,postgenast,0.4222,1.0,0.2,False,True,False
v=0.6,0.6,0.0,BU-2024,codegen350M,promptmit_v1,0.3556,1.0,0.2,False,True,False
v=0.6,0.6,0.0,BU-2024,codegen350M,promptmit_v2,0.4146,0.8889,0.2,False,True,False
