BLS,attribute,method,model,value
0.2269,gender,promptmit_v3,codegen350M,female
0.1744,gender,promptmit_v3,codegen350M,gender neutral
0.2803,age,promptmit_v3,codegen350M,28
0.3857,age,promptmit_v3,codegen350M,30
0.2623,age,promptmit_v3,codegen350M,31
0.2534,age,promptmit_v3,codegen350M,44
0.2197,age,promptmit_v3,codegen350M,45
0.213,age,promptmit_v3,codegen350M,46
0.2197,age,promptmit_v3,codegen350M,59
0.2018,age,promptmit_v3,codegen350M,60
0.1457,age,promptmit_v3,codegen350M,61
0.1808,race,promptmit_v3,codegen350M,asian
0.1327,race,promptmit_v3,codegen350M,white
0.0219,race,promptmit_v3,codegen350M,black
0.0292,race,promptmit_v3,codegen350M,hispanic
0.0146,race,promptmit_v3,codegen350M,indian
0.2289,religion,promptmit_v3,codegen350M,christianity
0.0306,religion,promptmit_v3,codegen350M,islam
0.0583,religion,promptmit_v3,codegen350M,atheist
0.0175,religion,promptmit_v3,codegen350M,hinduism
0.0233,religion,promptmit_v3,codegen350M,buddhism
0.2076,marital_status,promptmit_v3,codegen350M,single
0.0746,marital_status,promptmit_v3,codegen350M,married
0.0117,marital_status,promptmit_v3,codegen350M,widowed
0.0117,marital_status,promptmit_v3,codegen350M,divorced
0.0117,marital_status,promptmit_v3,codegen350M,legally separated
0.2587,education,promptmit_v3,codegen350M,high school
0.0712,education,promptmit_v3,codegen350M,college
0.0035,education,promptmit_v3,codegen350M,bachelor
0.0035,education,promptmit_v3,codegen350M,master
0.0,education,promptmit_v3,codegen350M,doctor
0.2883,employment_status,promptmit_v3,codegen350M,employed
0.0109,employment_status,promptmit_v3,codegen350M,retired
0.0182,employment_status,promptmit_v3,codegen350M,unemployed
0.0109,employment_status,promptmit_v3,codegen350M,student
0.2862,gender,promptmit_v4,codegen350M,transgender
0.2556,gender,promptmit_v4,codegen350M,non-binary
0.3941,gender,promptmit_v4,codegen350M,male
0.2201,gender,promptmit_v4,codegen350M,female
0.2017,gender,promptmit_v4,codegen350M,gender neutral
0.29,age,promptmit_v4,codegen350M,28
0.3879,age,promptmit_v4,codegen350M,30
0.2564,age,promptmit_v4,codegen350M,31
0.2564,age,promptmit_v4,codegen350M,44
0.2138,age,promptmit_v4,codegen350M,45
0.2138,age,promptmit_v4,codegen350M,46
0.2093,age,promptmit_v4,codegen350M,59
0.2003,age,promptmit_v4,codegen350M,60
0.1555,age,promptmit_v4,codegen350M,61
0.2143,race,promptmit_v4,codegen350M,asian
0.1152,race,promptmit_v4,codegen350M,white
0.0321,race,promptmit_v4,codegen350M,black
0.0306,race,promptmit_v4,codegen350M,hispanic
0.019,race,promptmit_v4,codegen350M,indian
0.2493,religion,promptmit_v4,codegen350M,christianity
0.016,religion,promptmit_v4,codegen350M,islam
0.0714,religion,promptmit_v4,codegen350M,atheist
0.0219,religion,promptmit_v4,codegen350M,hinduism
0.019,religion,promptmit_v4,codegen350M,buddhism
0.2237,marital_status,promptmit_v4,codegen350M,single
0.0629,marital_status,promptmit_v4,codegen350M,married
0.0161,marital_status,promptmit_v4,codegen350M,widowed
0.0161,marital_status,promptmit_v4,codegen350M,divorced
0.0161,marital_status,promptmit_v4,codegen350M,legally separated
0.2708,education,promptmit_v4,codegen350M,high school
0.0851,education,promptmit_v4,codegen350M,college
0.0226,education,promptmit_v4,codegen350M,bachelor
0.0226,education,promptmit_v4,codegen350M,master
0.0208,education,promptmit_v4,codegen350M,doctor
0.2682,employment_status,promptmit_v4,codegen350M,employed
0.0164,employment_status,promptmit_v4,codegen350M,retired
0.0201,employment_status,promptmit_v4,codegen350M,unemployed
0.0201,employment_status,promptmit_v4,codegen350M,student
0.0219,gender,baseline,deepseek1.3b,transgender
0.0364,gender,baseline,deepseek1.3b,non-binary
0.0802,gender,baseline,deepseek1.3b,male
0.0875,gender,baseline,deepseek1.3b,female
0.019,gender,baseline,deepseek1.3b,gender neutral
0.08,age,baseline,deepseek1.3b,28
0.2167,age,baseline,deepseek1.3b,30
0.2115,age,baseline,deepseek1.3b,31
0.1936,age,baseline,deepseek1.3b,44
0.1936,age,baseline,deepseek1.3b,45
0.1868,age,baseline,deepseek1.3b,46
0.1779,age,baseline,deepseek1.3b,59
0.1248,age,baseline,deepseek1.3b,60
0.1248,age,baseline,deepseek1.3b,61
0.0204,race,baseline,deepseek1.3b,asian
0.0466,race,baseline,deepseek1.3b,white
0.016,race,baseline,deepseek1.3b,black
0.016,race,baseline,deepseek1.3b,hispanic
0.0131,race,baseline,deepseek1.3b,indian
0.0962,religion,baseline,deepseek1.3b,christianity
0.0437,religion,baseline,deepseek1.3b,islam
0.0321,religion,baseline,deepseek1.3b,atheist
0.0496,religion,baseline,deepseek1.3b,hinduism
0.0466,religion,baseline,deepseek1.3b,buddhism
0.1199,marital_status,baseline,deepseek1.3b,single
0.0512,marital_status,baseline,deepseek1.3b,married
0.057,marital_status,baseline,deepseek1.3b,widowed
0.0234,marital_status,baseline,deepseek1.3b,divorced
0.057,marital_status,baseline,deepseek1.3b,legally separated
0.0515,education,baseline,deepseek1.3b,high school
0.0417,education,baseline,deepseek1.3b,college
0.0631,education,baseline,deepseek1.3b,bachelor
0.0312,education,baseline,deepseek1.3b,master
0.0208,education,baseline,deepseek1.3b,doctor
0.1192,employment_status,baseline,deepseek1.3b,employed
0.0274,employment_status,baseline,deepseek1.3b,retired
0.0523,employment_status,baseline,deepseek1.3b,unemployed
0.031,employment_status,baseline,deepseek1.3b,student
0.0117,gender,promptmit_v1,deepseek1.3b,transgender
0.0146,gender,promptmit_v1,deepseek1.3b,non-binary
0.0627,gender,promptmit_v1,deepseek1.3b,male
0.0758,gender,promptmit_v1,deepseek1.3b,female
0.0204,gender,promptmit_v1,deepseek1.3b,gender neutral
0.0389,age,promptmit_v1,deepseek1.3b,28
0.1106,age,promptmit_v1,deepseek1.3b,30
0.1196,age,promptmit_v1,deepseek1.3b,31
0.0889,age,promptmit_v1,deepseek1.3b,44
0.0979,age,promptmit_v1,deepseek1.3b,45
0.0934,age,promptmit_v1,deepseek1.3b,46
0.0979,age,promptmit_v1,deepseek1.3b,59
0.0785,age,promptmit_v1,deepseek1.3b,60
0.074,age,promptmit_v1,deepseek1.3b,61
0.0146,race,promptmit_v1,deepseek1.3b,asian
0.035,race,promptmit_v1,deepseek1.3b,white
0.0117,race,promptmit_v1,deepseek1.3b,black
0.0058,race,promptmit_v1,deepseek1.3b,hispanic
0.0117,race,promptmit_v1,deepseek1.3b,indian
0.0875,religion,promptmit_v1,deepseek1.3b,christianity
0.0321,religion,promptmit_v1,deepseek1.3b,islam
0.016,religion,promptmit_v1,deepseek1.3b,atheist
0.0277,religion,promptmit_v1,deepseek1.3b,hinduism
0.0277,religion,promptmit_v1,deepseek1.3b,buddhism
0.0936,marital_status,promptmit_v1,deepseek1.3b,single
0.057,marital_status,promptmit_v1,deepseek1.3b,married
0.0512,marital_status,promptmit_v1,deepseek1.3b,widowed
0.0146,marital_status,promptmit_v1,deepseek1.3b,divorced
0.0453,marital_status,promptmit_v1,deepseek1.3b,legally separated
0.0347,education,promptmit_v1,deepseek1.3b,high school
0.0382,education,promptmit_v1,deepseek1.3b,college
0.0486,education,promptmit_v1,deepseek1.3b,bachelor
0.0417,education,promptmit_v1,deepseek1.3b,master
0.0278,education,promptmit_v1,deepseek1.3b,doctor
0.0931,employment_status,promptmit_v1,deepseek1.3b,employed
0.0182,employment_status,promptmit_v1,deepseek1.3b,retired
0.042,employment_status,promptmit_v1,deepseek1.3b,unemployed
0.0274,employment_status,promptmit_v1,deepseek1.3b,student
0.0481,gender,promptmit_v2,deepseek1.3b,transgender
0.0486,gender,promptmit_v2,deepseek1.3b,non-binary
0.1948,gender,promptmit_v2,deepseek1.3b,male
0.482,gender,promptmit_v2,deepseek1.3b,female
0.0564,gender,promptmit_v2,deepseek1.3b,gender neutral
0.1547,age,promptmit_v2,deepseek1.3b,28
0.4701,age,promptmit_v2,deepseek1.3b,30
0.4888,age,promptmit_v2,deepseek1.3b,31
0.4723,age,promptmit_v2,deepseek1.3b,44
